for each of the sample sizes get sensitivity values

2^4: -------------------------------------------------------------
Params  Sobol First Order (S1)  Sobol Total (ST)  Sobol Total Conf
    k4            2.922373e-02      3.049317e-02      8.023511e-04
    e2            2.900553e-02      2.993446e-02      7.453719e-04
     r            2.860858e-02      2.991360e-02      7.027548e-04
    d2            2.858295e-02      2.976184e-02      7.123846e-04
    k2            5.064436e-03      5.003443e-03      1.153535e-04
    c3            4.796654e-03      4.913275e-03      1.383415e-04
    a2            2.124440e-03      2.207619e-03      5.936885e-05
    b1            1.978112e-03      2.074778e-03      5.200989e-05
    b2            6.248076e-04      6.133216e-04      1.563596e-05
    e1            1.521294e-05      1.601617e-05      4.110369e-07
    d1            1.764510e-06      2.443688e-07      6.791888e-09
   sig           -7.804270e-12      6.442869e-18      1.057744e-17

2^16: ------------------------------------------------------------
Params  Sobol First Order (S1)  Sobol Total (ST)  Sobol Total Conf
    k5            2.736773e-01      2.791388e-01      3.102961e-03
    k3            2.701651e-01      2.756130e-01      3.108188e-03
    e3            1.198803e-01      1.223913e-01      1.441103e-03
    k1            5.779384e-02      5.973277e-02      6.114119e-04
    c1            5.388190e-02      5.505464e-02      6.182306e-04
    c2            4.583902e-02      4.745079e-02      5.666838e-04
    a1            3.688994e-02      3.821924e-02      4.263773e-04
    k4            2.920982e-02      3.050895e-02      3.358051e-04
    e2            2.867470e-02      2.995213e-02      3.693020e-04
     r            2.866227e-02      2.992246e-02      3.629748e-04
    d2            2.847338e-02      2.978375e-02      3.453158e-04
    k2            4.845094e-03      5.006346e-03      6.306148e-05
    c3            4.775117e-03      4.914882e-03      5.278122e-05
    a2            2.108462e-03      2.209267e-03      2.552100e-05
    b1            2.009042e-03      2.075739e-03      2.592168e-05
    b2            6.148264e-04      6.138454e-04      6.276270e-06
    e1            1.657958e-05      1.602208e-05      1.866447e-07
    d1            2.618432e-07      2.445311e-07      3.464336e-09
   sig            2.469847e-10      1.865322e-14      2.976589e-14


