for each of the sample sizes get sensitivity values
2^4: -------------------------------------------------------------
Params  Sobol First Order (S1)  Sobol Total (ST)  Sobol Total Conf
    e2            2.884954e-02      3.009877e-02      7.736818e-04
     r            2.879838e-02      3.006374e-02      7.024715e-04
    d2            2.864302e-02      2.990196e-02      7.153244e-04
    a2            8.961263e-04      9.628413e-04      2.472394e-05
    k2            1.328867e-04      1.623178e-04      3.912869e-06
   sig            1.611962e-04      1.542871e-04      4.087074e-06
    b1            1.028767e-04      7.045006e-05      1.887799e-06
    e1            2.140770e-05      2.349981e-05      6.342109e-07
    b2            1.914107e-05      1.760421e-05      4.584840e-07
    d1            5.651405e-07      3.985931e-07      1.400678e-08
    c3            6.027464e-07      1.067446e-07      2.787971e-09
  sig2            1.529815e-07      1.748020e-08      5.858660e-10
2^16: ------------------------------------------------------------
Params  Sobol First Order (S1)  Sobol Total (ST)  Sobol Total Conf
    k3            2.730672e-01      2.784572e-01      3.188371e-03
    k5            2.380726e-01      2.429705e-01      3.059447e-03
    e3            1.217698e-01      1.243700e-01      1.481088e-03
    c1            7.882774e-02      8.052565e-02      9.931255e-04
    k1            5.826600e-02      6.023975e-02      6.943036e-04
    c2            5.630531e-02      5.826323e-02      7.205720e-04
    a1            4.447163e-02      4.608658e-02      5.410434e-04
    k4            2.895155e-02      3.020588e-02      3.703606e-04
     r            2.888831e-02      3.014536e-02      4.206376e-04
    e2            2.883044e-02      3.012064e-02      3.462187e-04
    d2            2.865256e-02      2.992958e-02      3.814194e-04
    a2            9.226568e-04      9.639991e-04      1.210834e-05
    k2            1.581283e-04      1.623880e-04      1.861265e-06
   sig            1.487187e-04      1.544195e-04      2.120856e-06
    b1            9.785516e-05      7.048106e-05      8.113857e-07
    e1            2.141323e-05      2.351823e-05      2.676713e-07
    b2            1.880077e-05      1.760173e-05      2.236586e-07
    d1           -6.506635e-08      3.968492e-07      6.289018e-09
    c3            1.300517e-07      1.064950e-07      1.385834e-09
  sig2           -5.505742e-08      1.722332e-08      2.601930e-10

