for each of the sample sizes get sensitivity values

2^4: -------------------------------------------------------------
Params  Sobol First Order (S1)  Sobol Total (ST)  Sobol Total Conf
    k4            2.986275e-02      3.109566e-02      6.975521e-04
    e2            3.007493e-02      3.101570e-02      7.109187e-04
     r            2.968461e-02      3.099385e-02      7.430911e-04
    d2            2.966848e-02      3.084626e-02      8.607786e-04
    k2            5.314599e-03      5.257941e-03      1.304179e-04
    c3            5.014919e-03      5.138865e-03      1.248091e-04
    a2            2.201101e-03      2.287925e-03      4.878426e-05
    b1            2.084233e-03      2.179545e-03      5.207322e-05
    b2            6.439170e-04      6.356931e-04      1.340175e-05
    e1            1.639465e-05      1.690253e-05      3.562266e-07
    d1            4.684424e-07      3.251824e-07      1.312575e-08
   sig           -5.664558e-11      4.051795e-17      5.053903e-17
2^16: ------------------------------------------------------------
Params  Sobol First Order (S1)  Sobol Total (ST)  Sobol Total Conf
    k3            2.817237e-01      2.870554e-01      3.768112e-03
    k5            2.450413e-01      2.498575e-01      3.382316e-03
    e3            1.257708e-01      1.282703e-01      1.802509e-03
    k1            5.892381e-02      6.080791e-02      8.048860e-04
    c1            5.669015e-02      5.786813e-02      7.785991e-04
    c2            4.755622e-02      4.916192e-02      6.181373e-04
    a1            3.827412e-02      3.960099e-02      4.895214e-04
    k4            2.982903e-02      3.111174e-02      3.950518e-04
    e2            2.975519e-02      3.103303e-02      4.444763e-04
     r            2.973627e-02      3.100259e-02      4.254037e-04
    d2            2.955577e-02      3.086680e-02      4.165532e-04
    k2            5.091855e-03      5.260907e-03      7.286445e-05
    c3            4.997056e-03      5.140479e-03      7.242012e-05
    a2            2.186879e-03      2.289147e-03      3.006677e-05
    b1            2.103929e-03      2.180392e-03      3.302829e-05
    b2            6.357686e-04      6.361356e-04      1.013448e-05
    e1            1.737874e-05      1.690927e-05      2.062855e-07
    d1           -4.220187e-06      3.242548e-07      7.371568e-09
   sig            3.183290e-11      3.926273e-16      5.648118e-16

